INTERFERENCE WITH PUBLIC OFFICER,47,24
INTERFERENCE WITH PUBLIC OFFICER,74,14
INTIMIDATION,14,53
INTIMIDATION,41,14
INTIMIDATION,68,86
KIDNAPPING,18,26
KIDNAPPING,45,40
KIDNAPPING,72,73
LIQUOR LAW VIOLATION,9,33
LIQUOR LAW VIOLATION,36,2
LIQUOR LAW VIOLATION,63,154
MOTOR VEHICLE THEFT,14,4679
MOTOR VEHICLE THEFT,41,2240
MOTOR VEHICLE THEFT,68,6958
NARCOTICS,21,2668
NARCOTICS,48,2066
NARCOTICS,75,3878
NON - CRIMINAL,37,1
NON - CRIMINAL,64,1
NON-CRIMINAL,12,2
NON-CRIMINAL,39,1
NON-CRIMINAL,66,7
NON-CRIMINAL (SUBJECT SPECIFIED),27,1
OBSCENITY,24,24
OBSCENITY,51,2
OFFENSE INVOLVING CHILDREN,19,1348
OFFENSE INVOLVING CHILDREN,46,1371
OFFENSE INVOLVING CHILDREN,73,751
OTHER NARCOTIC VIOLATION,24,9
OTHER OFFENSE,18,1531
OTHER OFFENSE,45,2397
OTHER OFFENSE,72,2114
PROSTITUTION,3,796
PROSTITUTION,30,1251
PROSTITUTION,57,550
PUBLIC INDECENCY,7,9
PUBLIC INDECENCY,34,2
PUBLIC INDECENCY,61,4
PUBLIC PEACE VIOLATION,15,621
PUBLIC PEACE VIOLATION,42,812
PUBLIC PEACE VIOLATION,69,904
ROBBERY,4,1253
ROBBERY,31,1830
ROBBERY,58,2327
SEX OFFENSE,19,710
SEX OFFENSE,46,386
SEX OFFENSE,73,255
STALKING,20,27
STALKING,47,6
STALKING,74,21
THEFT,17,10234
THEFT,44,30817
THEFT,71,28422
WEAPONS VIOLATION,4,720
WEAPONS VIOLATION,31,904
WEAPONS VIOLATION,58,956
ARSON,38,85
ARSON,65,113
ASSAULT,9,1557
ASSAULT,36,1250
ASSAULT,63,3568
ASSAULT,225,5
ASSAULT,333,8
ASSAULT,414,4
ASSAULT,522,3
ASSAULT,711,12
ASSAULT,1413,1
ASSAULT,2223,4
ASSAULT,2412,1
BATTERY,21,9807
BATTERY,48,5975
BATTERY,75,9106
BATTERY,723,13
BATTERY,831,26
BATTERY,912,9
BATTERY,1533,24
BATTERY,1614,3
BATTERY,1722,3
BATTERY,1911,5
BATTERY,2424,3
BATTERY,2532,10
BURGLARY,22,11010
BURGLARY,49,10908
BURGLARY,76,448
CONCEALED CARRY LICENSE VIOLATION,20,1
CONCEALED CARRY LICENSE VIOLATION,47,2
CONCEALED CARRY LICENSE VIOLATION,74,2
CRIM SEXUAL ASSAULT,25,1713
CRIM SEXUAL ASSAULT,52,107
CRIMINAL DAMAGE,22,17706
CRIMINAL DAMAGE,49,21881
CRIMINAL DAMAGE,76,3146
CRIMINAL SEXUAL ASSAULT,11,16
CRIMINAL SEXUAL ASSAULT,38,52
CRIMINAL SEXUAL ASSAULT,65,28
CRIMINAL TRESPASS,25,7971
CRIMINAL TRESPASS,52,544
DECEPTIVE PRACTICE,3,6730
DECEPTIVE PRACTICE,30,2862
DECEPTIVE PRACTICE,57,926
DECEPTIVE PRACTICE,813,1
DECEPTIVE PRACTICE,1812,1
GAMBLING,17,41
GAMBLING,44,195
GAMBLING,71,486
HOMICIDE,3,93
HOMICIDE,30,312
HOMICIDE,57,27
HUMAN TRAFFICKING,8,2
HUMAN TRAFFICKING,35,1
INTERFERENCE WITH PUBLIC OFFICER,21,81
INTERFERENCE WITH PUBLIC OFFICER,48,72
INTERFERENCE WITH PUBLIC OFFICER,75,130
INTIMIDATION,15,68
INTIMIDATION,42,67
INTIMIDATION,69,79
KIDNAPPING,19,163
KIDNAPPING,46,141
KIDNAPPING,73,113
LIQUOR LAW VIOLATION,10,66
LIQUOR LAW VIOLATION,37,12
LIQUOR LAW VIOLATION,64,53
MOTOR VEHICLE THEFT,15,5069
MOTOR VEHICLE THEFT,42,3305
MOTOR VEHICLE THEFT,69,7513
NARCOTICS,22,7371
NARCOTICS,49,19033
NARCOTICS,76,2459
NON - CRIMINAL,11,3
NON-CRIMINAL,13,2
NON-CRIMINAL,67,2
OBSCENITY,25,36
OBSCENITY,52,2
OFFENSE INVOLVING CHILDREN,20,486
OFFENSE INVOLVING CHILDREN,47,89
OFFENSE INVOLVING CHILDREN,74,254
OTHER NARCOTIC VIOLATION,25,4
OTHER OFFENSE,19,9409
OTHER OFFENSE,46,8666
OTHER OFFENSE,73,6167
PROSTITUTION,4,199
PROSTITUTION,31,587
PROSTITUTION,58,2213
PUBLIC INDECENCY,8,18
PUBLIC INDECENCY,35,1
PUBLIC INDECENCY,62,1
PUBLIC PEACE VIOLATION,16,570
PUBLIC PEACE VIOLATION,43,1077
PUBLIC PEACE VIOLATION,70,358
RITUALISM,8,2
ROBBERY,5,1037
ROBBERY,32,4482
ROBBERY,59,693
SEX OFFENSE,20,249
SEX OFFENSE,47,25
SEX OFFENSE,74,70
STALKING,21,32
STALKING,48,32
STALKING,75,34
THEFT,18,5095
THEFT,45,6408
THEFT,72,6395
WEAPONS VIOLATION,5,413
WEAPONS VIOLATION,32,434
WEAPONS VIOLATION,59,295
ARSON,39,34
ARSON,66,346
ASSAULT,10,2973
ASSAULT,37,1568
ASSAULT,64,1691
ASSAULT,334,4
ASSAULT,523,1
ASSAULT,631,1
ASSAULT,712,3
ASSAULT,1225,2
ASSAULT,1414,1
ASSAULT,1522,7
ASSAULT,2521,1
BATTERY,22,24307
BATTERY,49,35622
BATTERY,76,3834
BATTERY,211,16
BATTERY,724,15
BATTERY,832,12
BATTERY,913,11
BATTERY,1021,25
BATTERY,1723,3
BATTERY,1831,20
BATTERY,1912,2
BATTERY,2533,15
BURGLARY,23,8709
BURGLARY,50,1234
BURGLARY,77,3784
CONCEALED CARRY LICENSE VIOLATION,21,1
CONCEALED CARRY LICENSE VIOLATION,48,4
CONCEALED CARRY LICENSE VIOLATION,75,5
CRIM SEXUAL ASSAULT,26,429
CRIM SEXUAL ASSAULT,53,519
CRIMINAL DAMAGE,23,19463
CRIMINAL DAMAGE,50,3196
CRIMINAL DAMAGE,77,7335
CRIMINAL SEXUAL ASSAULT,12,8
CRIMINAL SEXUAL ASSAULT,39,21
CRIMINAL SEXUAL ASSAULT,66,84
CRIMINAL TRESPASS,26,1999
CRIMINAL TRESPASS,53,2035
DECEPTIVE PRACTICE,4,3168
DECEPTIVE PRACTICE,31,2513
DECEPTIVE PRACTICE,58,2135
GAMBLING,18,24
GAMBLING,45,29
GAMBLING,72,4
HOMICIDE,4,17
HOMICIDE,31,129
HOMICIDE,58,147
INTERFERENCE WITH PUBLIC OFFICER,22,201
INTERFERENCE WITH PUBLIC OFFICER,49,649
INTERFERENCE WITH PUBLIC OFFICER,76,42
INTIMIDATION,16,51
INTIMIDATION,43,110
INTIMIDATION,70,38
KIDNAPPING,20,53
KIDNAPPING,47,7
KIDNAPPING,74,86
LIQUOR LAW VIOLATION,11,95
LIQUOR LAW VIOLATION,38,70
LIQUOR LAW VIOLATION,65,78
MOTOR VEHICLE THEFT,16,6274
MOTOR VEHICLE THEFT,43,7770
MOTOR VEHICLE THEFT,70,3247
NARCOTICS,23,48699
NARCOTICS,50,1343
NARCOTICS,77,3009
NON - CRIMINAL,66,5
NON-CRIMINAL,14,2
NON-CRIMINAL (SUBJECT SPECIFIED),2,1
OBSCENITY,26,4
OBSCENITY,53,2
OFFENSE INVOLVING CHILDREN,21,472
OFFENSE INVOLVING CHILDREN,48,341
OFFENSE INVOLVING CHILDREN,75,631
OTHER NARCOTIC VIOLATION,26,1
OTHER OFFENSE,20,3359
OTHER OFFENSE,47,708
OTHER OFFENSE,74,1522
PROSTITUTION,5,127
PROSTITUTION,32,510
PROSTITUTION,59,32
PUBLIC INDECENCY,9,2
PUBLIC INDECENCY,36,1
PUBLIC INDECENCY,63,1
PUBLIC PEACE VIOLATION,17,481
PUBLIC PEACE VIOLATION,44,639
PUBLIC PEACE VIOLATION,71,1062
ROBBERY,6,5137
ROBBERY,33,1249
ROBBERY,60,914
SEX OFFENSE,21,318
SEX OFFENSE,48,90
SEX OFFENSE,75,143
STALKING,22,85
STALKING,49,94
STALKING,76,24
THEFT,19,25029
THEFT,46,17815
THEFT,73,13630
WEAPONS VIOLATION,6,604
WEAPONS VIOLATION,33,259
WEAPONS VIOLATION,60,326
ARSON,40,73
ARSON,67,445
ASSAULT,11,3830
ASSAULT,38,6485
ASSAULT,65,2345
ASSAULT,524,1
ASSAULT,632,4
ASSAULT,713,3
ASSAULT,1523,1
ASSAULT,1631,1
BATTERY,23,39820
BATTERY,50,4960
BATTERY,77,10482
BATTERY,131,16
BATTERY,212,16
BATTERY,725,20
BATTERY,833,6
BATTERY,914,3
BATTERY,1022,29
BATTERY,1211,7
BATTERY,1724,2
BATTERY,1832,10
BATTERY,1913,12
BATTERY,2534,11
BURGLARY,24,14863
BURGLARY,51,2573
CONCEALED CARRY LICENSE VIOLATION,22,4
CONCEALED CARRY LICENSE VIOLATION,49,19
CONCEALED CARRY LICENSE VIOLATION,76,159
CRIM SEXUAL ASSAULT,NULL,2044
CRIM SEXUAL ASSAULT,0,1
CRIM SEXUAL ASSAULT,27,412
CRIM SEXUAL ASSAULT,54,142
CRIMINAL DAMAGE,24,25693
CRIMINAL DAMAGE,51,6080
CRIMINAL SEXUAL ASSAULT,13,13
CRIMINAL SEXUAL ASSAULT,40,31
CRIMINAL SEXUAL ASSAULT,67,97
CRIMINAL TRESPASS,NULL,16340
CRIMINAL TRESPASS,0,3
CRIMINAL TRESPASS,27,2385
CRIMINAL TRESPASS,54,977
DECEPTIVE PRACTICE,5,3099
DECEPTIVE PRACTICE,32,19670
DECEPTIVE PRACTICE,59,1050
GAMBLING,19,61
GAMBLING,46,201
GAMBLING,73,149
HOMICIDE,5,21
HOMICIDE,32,27
HOMICIDE,59,32
HUMAN TRAFFICKING,10,1
HUMAN TRAFFICKING,37,1
INTERFERENCE WITH PUBLIC OFFICER,23,842
INTERFERENCE WITH PUBLIC OFFICER,50,107
INTERFERENCE WITH PUBLIC OFFICER,77,75
INTIMIDATION,17,41
INTIMIDATION,44,65
INTIMIDATION,71,106
KIDNAPPING,21,58
KIDNAPPING,48,45
KIDNAPPING,75,102
LIQUOR LAW VIOLATION,12,51
LIQUOR LAW VIOLATION,39,11
LIQUOR LAW VIOLATION,66,232
MOTOR VEHICLE THEFT,17,2963
MOTOR VEHICLE THEFT,44,6340
MOTOR VEHICLE THEFT,71,7212
NARCOTICS,24,9071
NARCOTICS,51,2734
NON-CRIMINAL,15,1
NON-CRIMINAL,42,2
NON-CRIMINAL,69,2
OBSCENITY,NULL,24
OBSCENITY,27,11
OBSCENITY,54,4
OFFENSE INVOLVING CHILDREN,22,1110
OFFENSE INVOLVING CHILDREN,49,1466
OFFENSE INVOLVING CHILDREN,76,93
OTHER NARCOTIC VIOLATION,NULL,9
OTHER NARCOTIC VIOLATION,54,1
OTHER OFFENSE,21,3978
OTHER OFFENSE,48,2836
OTHER OFFENSE,75,4279
PROSTITUTION,6,628
PROSTITUTION,33,56
PROSTITUTION,60,214
PUBLIC INDECENCY,10,2
PUBLIC INDECENCY,37,1
PUBLIC INDECENCY,64,2
PUBLIC PEACE VIOLATION,18,132
PUBLIC PEACE VIOLATION,45,142
PUBLIC PEACE VIOLATION,72,120
ROBBERY,7,3140
ROBBERY,34,1558
ROBBERY,61,4735
SEX OFFENSE,22,712
SEX OFFENSE,49,535
SEX OFFENSE,76,133
STALKING,23,88
STALKING,50,27
STALKING,77,38
THEFT,20,7056
THEFT,47,1398
THEFT,74,3282
WEAPONS VIOLATION,7,520
WEAPONS VIOLATION,34,208
WEAPONS VIOLATION,61,2769
ARSON,41,28
ARSON,68,386
ASSAULT,12,2631
ASSAULT,39,2572
ASSAULT,66,11240
ASSAULT,714,4
ASSAULT,822,1
ASSAULT,1011,3
ASSAULT,1524,1
ASSAULT,1713,1
ASSAULT,1821,2
BATTERY,24,25571
BATTERY,51,8056
BATTERY,132,7
BATTERY,213,10
BATTERY,321,28
BATTERY,726,12
BATTERY,834,4
BATTERY,915,13
BATTERY,1023,25
BATTERY,1131,19
BATTERY,1212,8
BATTERY,1833,12
BATTERY,1914,15
BATTERY,2022,3
BATTERY,2211,8
BATTERY,2535,13
BURGLARY,25,16602
BURGLARY,52,2320
CONCEALED CARRY LICENSE VIOLATION,23,9
CONCEALED CARRY LICENSE VIOLATION,50,4
